legid,activity
#24:3498,Listening
#25:3400,Walking
#25:3460,Walking
#24:3479,Cycling
#22:3739,Walking
#24:3713,Walking
#24:3713,Thinking
#24:3740,Walking
#24:3762,Accompanying
#22:3917,Browsing
#22:3917,ReadingDevice
#22:3917,Watching
#22:3917,Accompanying
#22:3917,Eating
#22:3917,Talking
#25:3774,Talking
#25:3774,Accompanying
#23:3848,Talking
#23:3848,Accompanying
#23:4072,Accompanying
#23:4072,Talking
#24:4044,Talking
#24:4044,Accompanying
#23:4073,Accompanying
#23:4073,Talking
#23:4562,Walking
#23:3984,Talking
#23:3984,Walking
#23:3984,Accompanying
#25:3975,Cycling
#25:3975,Eating
#25:4216,Walking
#25:4216,Accompanying
#25:4216,Talking
#24:4534,Accompanying
#22:4284,Walking
#22:4284,Talking
#22:4284,Accompanying
#24:4535,Talking
#24:4535,Accompanying
#25:4217,Walking
#25:4217,Browsing
#25:4217,Thinking
#22:4285,Walking
#22:4285,Browsing
#22:4285,Thinking
#22:4285,Listening
#22:4582,Talking
#22:4582,Accompanying
#23:5132,Walking
#25:4233,Walking
#25:4233,Browsing
#25:4233,Thinking
#24:4254,Walking
#24:4254,Browsing
#24:4254,Thinking
#25:4515,Walking
#25:4515,Accompanying
#25:4204,Thinking
#23:4282,Walking
#23:4282,Browsing
#23:4282,Thinking
#23:4282,Listening
#22:5152,Walking
#24:5106,Accompanying
#24:5106,Talking
#23:4267,Cycling
#23:4267,Browsing
#23:4267,Thinking
#22:4300,Eating
#22:4300,Listening
#22:4300,Walking
#22:4300,Browsing
#22:4300,Thinking
#25:5500,Talking
#25:5500,Accompanying
#22:5569,Walking
#24:5666,Accompanying
#24:5666,Talking
#25:5644,Walking
#23:5695,Eating
#24:5667,Eating
#25:5646,Talking
#25:5646,Accompanying
#23:5700,Accompanying
#23:5700,Talking
#25:5653,Walking
#25:5654,Walking
#22:4715,Thinking
#25:7051,Walking
#22:7125,Walking
#22:4766,Thinking
#24:7077,Walking
#22:7127,Walking
#23:5706,Accompanying
#23:5706,Talking
#24:7543,Accompanying
#24:7543,Talking
#23:7574,Thinking
#22:7595,Thinking
#23:7576,Accompanying
#23:7576,Talking
#24:7547,Accompanying
#24:7547,Talking
#23:7579,Talking
#23:7579,Accompanying
#25:5084,Walking
#23:5248,Walking
#23:5248,Accompanying
#22:5269,Driving
#24:5220,Walking
#24:5220,Accompanying
#24:5220,Talking
#25:7531,Accompanying
#25:7531,Talking
#22:7606,Accompanying
#22:7606,Talking
#25:5198,Walking
#25:5198,Thinking
#23:5342,Driving
#24:5253,Walking
#24:5253,Talking
#24:5253,Thinking
#25:5231,Accompanying
#25:5231,Talking
#25:5231,Thinking
#24:7556,Walking
#23:5326,Cycling
#23:5326,Accompanying
#23:5326,Talking
#23:5326,Thinking
#23:8271,Eating
#24:5298,Walking
#24:5298,Listening
#24:5298,Thinking
#22:5581,Walking
#22:5581,Thinking
#23:5563,Walking
#23:5563,Accompanying
#23:5563,Thinking
#25:5652,Walking
#24:5535,Walking
#24:5535,Talking
#24:5535,Thinking
#25:5583,Accompanying
#25:5583,Talking
#25:5513,Walking
#25:5513,Accompanying
#25:5513,Thinking
#24:5619,Walking
#24:5619,Browsing
#24:5619,Listening
#24:5619,Thinking
#22:5582,Accompanying
#22:5582,Walking
#25:5585,Walking
#25:5585,Accompanying
