tripid,purpose
#32:1461,Other
#31:1587,Other
#31:1449,Home
#30:1498,Home
#33:1435,Home
#32:1547,Work
#31:1583,Leisure_Hobby
#30:1609,Home
#32:1571,Leisure_Hobby
#33:1596,Personal_Tasks_Errands
#33:1568,Leisure_Hobby
#32:1595,Everyday_Shopping
#32:1595,Leisure_Hobby
#30:1722,Home
#31:1704,Leisure_Hobby
#32:1675,Leisure_Hobby
#33:1849,Work
#32:1647,Work
#32:1647,Everyday_Shopping
#32:1647,Other
#33:1641,Personal_Tasks_Errands
#31:1769,Everyday_Shopping
#30:1915,Personal_Tasks_Errands
#32:1738,Work
#31:1897,Work
#33:1722,Leisure_Hobby
#33:1722,Other
#30:1788,Home
#30:1788,Other
#30:1788,Leisure_Hobby
#32:1866,Work
#32:2078,Work
#30:1796,Business_Trip
#30:1796,Work
#33:1730,Work
#33:1730,Business_Trip
#33:1850,Work
#33:1715,Work
#32:1746,Work
#32:1746,Other
#33:2061,Home
#30:2128,Leisure_Hobby
#31:1770,Leisure_Hobby
#31:1777,Home
#31:2282,Leisure_Hobby
#32:2250,Work
#31:2349,Work
#32:2317,Personal_Tasks_Errands
#33:2299,Leisure_Hobby
#30:2368,Personal_Tasks_Errands
#32:2318,Everyday_Shopping
#30:2369,Other
#33:3231,Work
#33:3231,Work
#30:2371,Work
#32:2321,Work
#32:1913,Home
#31:2934,Home
#32:2900,Personal_Tasks_Errands
#32:1940,Work
#33:2879,Home
#30:2955,Work
#30:8368,Leisure_Hobby
#30:2372,Leisure_Hobby
#31:3133,Home
#32:3099,Personal_Tasks_Errands
#33:3077,Personal_Tasks_Errands
#30:3154,Personal_Tasks_Errands
#31:3134,Personal_Tasks_Errands
#32:3100,Personal_Tasks_Errands
#31:2110,Work
#33:2106,Work
#32:2125,Other
#30:2174,Work
#33:3079,Personal_Tasks_Errands
#30:3156,Personal_Tasks_Errands
#31:2156,Work
#33:2147,Other
#33:2147,Personal_Tasks_Errands
#31:2170,Work
#32:2138,Work
#32:3102,Work
#31:2189,Work
#33:3353,Other
#32:2157,Work
#33:2241,Work
#30:2309,Work
#32:2320,Everyday_Shopping
#31:2291,Work
#32:2288,Work
#32:2259,Work
#30:2345,Leisure_Hobby
#33:2242,Work
#33:2271,Business_Trip
#30:2337,Work
#30:2340,Business_Trip
#30:2367,Business_Trip
#33:2276,Home
#33:2276,Work
#30:2338,Home
#32:2303,Home
#30:3157,Work
#32:3103,Leisure_Hobby
#30:3158,Home
#32:3104,Leisure_Hobby
#33:2932,Business_Trip
#30:3159,Home
#32:3105,Other
#31:3140,Home
#32:3107,Personal_Tasks_Errands
#33:3085,Work
#33:2535,Home
#33:2535,Everyday_Shopping
#33:2535,Leisure_Hobby
#33:3086,Personal_Tasks_Errands
#30:2637,Work
#33:2567,Work
#32:2590,Work
#33:2615,Work
#33:2830,Leisure_Hobby
#31:2760,Everyday_Shopping
#33:2616,Home
#30:3169,Leisure_Hobby
#30:3164,Everyday_Shopping
#31:2777,Leisure_Hobby
#30:2797,Everyday_Shopping
#33:2722,Everyday_Shopping
#31:3148,Everyday_Shopping
#30:3306,Leisure_Hobby
#30:3168,Other
#33:3229,Leisure_Hobby
#32:3251,Leisure_Hobby
#32:3113,Other
#31:2883,Work
#30:2945,Everyday_Shopping
#30:3036,Work
#31:2925,Work
#31:2925,Home
#31:3147,Work
#32:3382,Other
#33:2874,Home
#33:2874,Everyday_Shopping
#32:2895,Leisure_Hobby
#33:3088,Other
#33:2960,Personal_Tasks_Errands
#32:2981,Work
#31:3021,Pick_Up_Drop_Off
#31:3021,Work
#31:3021,Pick_Up_Drop_Off
#31:3021,Work
#31:3021,Work
#31:3021,Home
#33:3089,Other
#31:3290,Work
#31:3290,Work
#31:3290,Work
#31:3149,Business_Trip
#31:3083,Everyday_Shopping
#31:3146,Leisure_Hobby
#31:3082,Pick_Up_Drop_Off
#32:3052,Home
#32:3052,Personal_Tasks_Errands
#32:3052,Leisure_Hobby
#32:3058,Work
#32:3058,Home
#32:3058,Work
#32:3058,Home
#32:3058,Home
#32:3058,Work
#30:3391,Home
#32:3073,Leisure_Hobby
#32:3485,Home
#30:3861,Leisure_Hobby
#33:3051,Leisure_Hobby
#31:3125,Work
#31:3123,Work
#32:3080,Personal_Tasks_Errands
#33:3093,Leisure_Hobby
#33:3065,Other
#33:3235,Work
#33:3090,Work
#31:3152,Work
