userid,fit,prod,enjoy
03bfT4WZ6SfiFFajcrkoNfNKMpN2,50,50,50
07KyflZkq6WTDpjNKRszXxmp67z2,80,50,50
0CHk74uT2pRt5VKXM9qFVS3BLPu2,50,0,100
0F1PSUAFigfEmRrZCqYQubF0cqJ2,50,0,30
0bWXqCqRNvNOSqNn95cT4Rz7N8N2,93,1,77
0f96HTd4Q5R7BOEJiixoZavAblJ3,100,11,73
118dNa1ML6c0kvauqxEbJK3Wsa52,76,28,84
17DI4eRnDNXvM2KoQjPUzXyI4L23,70,17,84
1XbMRqPBVKRuwzqswMLHRm2VOCK2,100,70,76
1yv34DBm1tNVluLdPdd3y9dxqB73,100,0,100
22mkWBTU8xbsIYBxDAF5gKj0agI2,85,66,80
2CbkEUhXofUNq4q8htqXlzGSvHj2,75,10,75
2JGhHV7AAPXoHvETNIvDDaMe19p1,75,10,50
2Ws2zB4KThTihwiPdUvwf3Q6cq63,50,0,50
2amZBAPW1zPGfxCi7aUCVBnTUZf2,50,15,80
2jCf4LBsZjP0fyQOMquljkuYa5x2,90,30,90
2n0m0qqsuoZw7ydoNxCkd4yfKqP2,40,20,80
3L6LLQj2mTX11Iz8H5cUu7D53Ne2,100,0,75
3Qqp07yipUTIS00sxVgDTo5WxUy2,100,50,90
3dgeELI7o2asBfAyXVCAMiRtw0P2,67,0,81
3fj7Y3zB6WOgKnypO2UvEAn6ujs1,67,50,73
3k8KF06wmXUuIX5QyXc03XZrPnz1,40,0,100
4UgIfkxwFCVpRXrnRTKxN9pS0iE3,83,50,88
4ZfTYSt0erSVLAeGC28PY1Z8bbS2,75,10,66
4bzY2zv9MLN1bu1u35n1CoGahEY2,30,0,79
5SYLdRRcDvg6lWmC50brdxfxtK63,50,0,40
5m4xnumBhoWkZQGCJpwdwe7cM452,35,17,49
5m7sSRfurqVy4Jh2phIluMaCPTq1,100,20,100
60MVtldWmNcmPHkOA0WBYZD5fkH3,100,0,100
6IktuYggejgrofPlAxTQsV4LE7j1,50,10,80
6TNOjTk0Kzdm4VQaxF7JU47Rpko1,90,15,75
6XQn8AYcDKbYDxN8duuDfQy13Jt2,81,40,61
6ceuIjhHu5PsBoAhPsE6Y7LWajy2,80,0,80
78f6RRqIOAR8qYGm488WsdV1KTM2,50,0,50
7Drf7jewiyRhW1m4cSquLEFXnO22,80,21,71
7RDQEuaii8YdPq2ttwu4gJFPPrI2,80,50,100
7Rn2BElwjBabvnzgNCHXbBdS6l23,50,50,50
7m2UuFIuYTRpF0Ne618C4wIiG3W2,50,50,50
7y1Q339CkeXt45bVhpDOY9Vd23i2,85,72,74
889xsO0esVMhctuaDBXe0OJei8d2,70,0,75
88W2u6gwc6TquYQgBJxQZ8kj2CK2,80,10,75
8ANVpiy7j0Oa9UJTwJ5DTxxfAVc2,74,67,50
8GbZZm786rUauyM10JiwVHjN7jE2,86,8,76
8iVDy3EGn6TmW30BgUsyY5JYpHF2,100,58,88
8kja4JcYLBQsgt4asrCiOpfJUKf1,19,80,29
8m2EawKpa6VNqh1gz24HDcJSnBp1,100,0,100
9BEX37A3rSY595TcwViNki702k33,85,25,85
9KAVUODpQwPjV8GDatTtwCEiYw43,86,47,67
9Ltc1oOBVoQuwRLGWlWQuNjeut63,90,29,91
9Z2xCuB8tzgAuL3AIrFhgwFZDdn1,80,30,50
9o8bei4lZSXe1jJAQR0Wu4dPToA3,79,0,50
9sjoMM7wJEWt2X4yfZkS03qQiHE3,76,33,75
9ungJSdON2XIe2QUDGYqKruURn02,79,0,77
9xnH3xX54wZYPoThlclAsNERNvN2,81,50,86
AOcmMf90ZbNvL2BJpjiY9nCQRm23,70,0,62
AQbjgB5gSzW5KyjbHNN5Mpfc9RD2,79,0,99
AfjYqC9TkmZrOZcnb0Rc9SjyETP2,80,20,80
ApJQw58B4hSF2e7g4mLVdGu6bav2,100,50,99
Asn8yQZJPieP5YBMLDBWxuAb3KK2,81,20,78
AuuEwTShgsecLjBOqAXsFlMgt063,80,100,50
BBbzesLVVQcCPgwYtREt0d4VXpP2,100,0,100
BJAkYsFdvaQFeSh2yv2HrccVltC2,95,0,85
BKYG6OeNSudT1ArShYMjojzt41t2,31,0,80
BQOZlNTWEZMMllMV1Z6Mcz2lgVM2,50,0,70
BWXFf52ta0fyBIXsXEStC3MUkwp2,100,50,50
BhEy14AWD1M2ey86HYYIPscsibo1,83,50,83
C0sDtlzQE4Rjyb1Bcpn8AHWuVyE3,99,8,91
C6tj2KYwpkYNaIS4WzMxmfV2my32,77,83,14
CCo0zFeZlzPHQIwSGNYBQfR3Ipu1,30,10,60
CTIhYGIBXCVkoK2p8VOqGL4syiB2,50,0,50
CWWoORPnn1brx2KQNfalF3wQrNC2,91,26,78
ChzQS7X7cERJudQGHVbZkxdzI2i1,100,0,9
CojX5RoXYcTXqhvhTbT5kWi5ipy2,100,0,100
D2BXY2v0yGeIF3KNlRF7daj7yvD2,100,0,100
D7bsykoVmlRBrtvuVkU7bEz7hEI2,30,30,80
DGVmqOBoLtTBXvpjsWYM62wHVL73,84,50,87
DSHpQ9Cec2Mv5g87WBdPukra7tk1,14,8,14
E5bxDPsvRuVkfOn2QKrPDbTRlBT2,91,26,79
E715gGhT8pejmv4hakCJRyz2oUw1,100,50,100
EBIgNEp40pdzR19zGWfFOqpY2If1,100,20,90
EUdjxPyGUTYY4a89ZYJLVGAN6f12,100,50,84
EdymluwQMVS9j6W2khbRXesnNL93,100,0,75
EglKyYjaZdYgRKQhrsjKy2qrfYv1,90,10,90
Eh0bAv5mZ5X2mnkc14IGcqOA2cq2,78,76,50
EsMeK2dBeIXa15O5NIgXYju6wYB3,100,50,73
Exu5AeRNwMNCDYhOQ8qNwOsxxnc2,40,7,50
FOkYa1coQnfR4EZkiw6aDlxXi4I2,50,50,50
FSjw2O9dibTpLiP5qXqgriL30uI3,100,100,100
FTdyD7eZpDUTeNipobTxUAP1rVs2,80,80,50
GDOu9IZHM5h2gRPADRHW0i7hNDq1,50,50,50
GVem1XZhXDdR6NHmfb8JJM0cLIy2,40,75,60
GdhmdMPBQ6YF9MSJo6pzcfiX4yZ2,100,17,76
GgpMvNmo2aPUBA3y9faCnOOBz163,61,31,26
Gw41dwa7GhTU4GMPvdp0BOa7PRg1,23,33,75
Gxx4MoDbw2fhHNtjyocaXGboSL13,80,25,90
HFUVnC4wnPMMLW3Rs5v1uIxzicm2,50,50,50
HZE9Mk186XVVKJrioBvXvOSQbMo2,50,70,60
HijApqZFCqWsMgc0XTKGVmcgmmn1,50,50,50
HsHhPgNsiXZKz5tcSHvB8SAcvzG2,50,50,50
IGpJc0Az17bxe4MT6pHDx6lQ3LD2,50,99,50
IJ962pkNiFWCRjjJsR83CgRzpyV2,58,27,71
ILluZcPuwrYRVuLHpzHhsmrMFOi2,91,0,89
INUAfDePvQQnmTKzX73SBE3wmjU2,100,0,50
ITtSvx3K3AdOmEqbmnWMqH3yIpE3,83,30,79
IU39kpm0VkYHiGrQ1pA1jm6hJnv1,100,100,100
IXdLMT90IZehWbh5RcFTX78kasU2,100,13,100
IYFqKamhclckUqabBsHOiCNPbcd2,100,16,100
Jk2WYuKqb3b1jZtHN1vpOLA3sjW2,100,80,100
JnrSfvUXxqT1ndCQMiEQn35YHeE3,100,0,100
JqqEQ2p9rrfvpGpctdV9sa4CKBU2,85,22,50
