userid,motid,fit,prod,enjoy
03bfT4WZ6SfiFFajcrkoNfNKMpN2,1,50,50,50
03bfT4WZ6SfiFFajcrkoNfNKMpN2,25,50,50,50
03bfT4WZ6SfiFFajcrkoNfNKMpN2,36,50,50,50
07KyflZkq6WTDpjNKRszXxmp67z2,1,50,80,80
07KyflZkq6WTDpjNKRszXxmp67z2,9,0,10,30
0CHk74uT2pRt5VKXM9qFVS3BLPu2,10,0,0,100
0CHk74uT2pRt5VKXM9qFVS3BLPu2,33,0,10,90
0CHk74uT2pRt5VKXM9qFVS3BLPu2,7,100,10,100
0CHk74uT2pRt5VKXM9qFVS3BLPu2,16,100,0,100
0CHk74uT2pRt5VKXM9qFVS3BLPu2,9,0,0,80
0F1PSUAFigfEmRrZCqYQubF0cqJ2,9,0,14,0
0F1PSUAFigfEmRrZCqYQubF0cqJ2,16,50,0,23
0F1PSUAFigfEmRrZCqYQubF0cqJ2,20,0,0,81
0bWXqCqRNvNOSqNn95cT4Rz7N8N2,16,100,30,100
0bWXqCqRNvNOSqNn95cT4Rz7N8N2,9,0,0,40
0f96HTd4Q5R7BOEJiixoZavAblJ3,1,100,20,70
0f96HTd4Q5R7BOEJiixoZavAblJ3,35,80,50,20
0f96HTd4Q5R7BOEJiixoZavAblJ3,9,0,0,50
118dNa1ML6c0kvauqxEbJK3Wsa52,12,0,70,70
118dNa1ML6c0kvauqxEbJK3Wsa52,11,0,70,70
118dNa1ML6c0kvauqxEbJK3Wsa52,15,0,50,70
118dNa1ML6c0kvauqxEbJK3Wsa52,27,0,50,70
118dNa1ML6c0kvauqxEbJK3Wsa52,10,0,70,70
118dNa1ML6c0kvauqxEbJK3Wsa52,33,0,70,70
118dNa1ML6c0kvauqxEbJK3Wsa52,28,0,60,80
118dNa1ML6c0kvauqxEbJK3Wsa52,13,0,50,50
118dNa1ML6c0kvauqxEbJK3Wsa52,7,80,0,80
118dNa1ML6c0kvauqxEbJK3Wsa52,8,100,0,90
118dNa1ML6c0kvauqxEbJK3Wsa52,1,90,0,90
118dNa1ML6c0kvauqxEbJK3Wsa52,35,90,0,90
118dNa1ML6c0kvauqxEbJK3Wsa52,22,0,40,50
118dNa1ML6c0kvauqxEbJK3Wsa52,25,0,0,30
17DI4eRnDNXvM2KoQjPUzXyI4L23,33,10,30,30
17DI4eRnDNXvM2KoQjPUzXyI4L23,7,50,10,90
17DI4eRnDNXvM2KoQjPUzXyI4L23,1,70,20,100
17DI4eRnDNXvM2KoQjPUzXyI4L23,9,0,0,50
17DI4eRnDNXvM2KoQjPUzXyI4L23,22,0,20,50
1XbMRqPBVKRuwzqswMLHRm2VOCK2,15,0,0,100
1XbMRqPBVKRuwzqswMLHRm2VOCK2,33,0,0,100
1XbMRqPBVKRuwzqswMLHRm2VOCK2,7,100,100,100
1XbMRqPBVKRuwzqswMLHRm2VOCK2,1,100,100,100
1XbMRqPBVKRuwzqswMLHRm2VOCK2,9,0,80,0
1XbMRqPBVKRuwzqswMLHRm2VOCK2,22,0,0,100
1yv34DBm1tNVluLdPdd3y9dxqB73,16,50,0,100
1yv34DBm1tNVluLdPdd3y9dxqB73,8,50,0,100
22mkWBTU8xbsIYBxDAF5gKj0agI2,35,50,4,50
22mkWBTU8xbsIYBxDAF5gKj0agI2,33,0,81,89
22mkWBTU8xbsIYBxDAF5gKj0agI2,17,50,0,91
2CbkEUhXofUNq4q8htqXlzGSvHj2,1,100,20,80
2CbkEUhXofUNq4q8htqXlzGSvHj2,9,10,0,10
2CbkEUhXofUNq4q8htqXlzGSvHj2,22,0,20,50
2JGhHV7AAPXoHvETNIvDDaMe19p1,33,10,20,20
2JGhHV7AAPXoHvETNIvDDaMe19p1,7,20,0,50
2JGhHV7AAPXoHvETNIvDDaMe19p1,1,90,0,50
2JGhHV7AAPXoHvETNIvDDaMe19p1,16,50,0,80
2JGhHV7AAPXoHvETNIvDDaMe19p1,9,0,10,10
2Ws2zB4KThTihwiPdUvwf3Q6cq63,12,0,0,20
2Ws2zB4KThTihwiPdUvwf3Q6cq63,11,0,0,20
2Ws2zB4KThTihwiPdUvwf3Q6cq63,10,0,20,60
2Ws2zB4KThTihwiPdUvwf3Q6cq63,33,0,20,60
2Ws2zB4KThTihwiPdUvwf3Q6cq63,14,0,40,70
2Ws2zB4KThTihwiPdUvwf3Q6cq63,7,10,0,60
2Ws2zB4KThTihwiPdUvwf3Q6cq63,1,70,0,60
2amZBAPW1zPGfxCi7aUCVBnTUZf2,33,10,20,80
2amZBAPW1zPGfxCi7aUCVBnTUZf2,7,90,20,80
2amZBAPW1zPGfxCi7aUCVBnTUZf2,16,90,0,80
2amZBAPW1zPGfxCi7aUCVBnTUZf2,17,90,0,80
2amZBAPW1zPGfxCi7aUCVBnTUZf2,9,10,0,50
2jCf4LBsZjP0fyQOMquljkuYa5x2,7,-1,-1,-1
